Question,Predicted Answer,Exact Match,Substring Match,Correct Answers,,,,,,,,,,,,,,,,,,,,,,,,
When was the last Super Bowl in California?,1985,0,0,2003 : in 2003 : 2003,,,,,,,,,,,,,,,,,,,,,,,,
Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,1,1,Boston : in Boston : Boston,,,,,,,,,,,,,,,,,,,,,,,,
When was Levi's Stadium picked for Super bowl 50?,May 21  2013,1,1,21-May, 2013 : May 21, 2013 : May 21,2013,,,,,,,,,,,,,,,,,,,,,
When did Levi's Stadium open?,May 21  2013,0,0,2014. : in 2014 : 2014,,,,,,,,,,,,,,,,,,,,,,,,
How much did Levi's Stadium cost?,$1.2 billion,1,1,$1.2 billion : $1.2 billion : $1.2 billion,,,,,,,,,,,,,,,,,,,,,,,,
When was the last time California hosted a Super Bowl?,1985,0,0,2003. : 2003 : 2003,,,,,,,,,,,,,,,,,,,,,,,,
Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,1,1,John Fox : John Fox : Fox,,,,,,,,,,,,,,,,,,,,,,,,
How many NFL teams have finished the regular season with one loss?,ten,1,1,ten : ten : six,,,,,,,,,,,,,,,,,,,,,,,,
How many NFL teams have gone 15-1 in one season?,six,1,1,six : six : six,,,,,,,,,,,,,,,,,,,,,,,,
Which team in Super Bowl 50 had a 15-1 record?,John Fox,0,0,Carolina Panthers : The Carolina Panthers : Panthers,,,,,,,,,,,,,,,,,,,,,,,,
What was the last Super Bowl the Broncos participated in?,Super Bowl 50,0,0,Super Bowl XLVIII : Super Bowl XLVIII : XLVIII,,,,,,,,,,,,,,,,,,,,,,,,
Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,1,1,John Fox : John Fox : Fox,,,,,,,,,,,,,,,,,,,,,,,,
What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?,one of four teams to have made eight appearances in the Super Bowl. The Broncos made their second,0,0,eight : eight : eight,,,,,,,,,,,,,,,,,,,,,,,,
How many NFL teams have had only one loss by the end of a regular season?,ten,1,1,ten : ten : ten,,,,,,,,,,,,,,,,,,,,,,,,
What was the first Super Bowl that the Carolina Panthers played in? ,XXXVIII,1,1,Super Bowl XXXVIII : Super Bowl XXXVIII : XXXVIII,,,,,,,,,,,,,,,,,,,,,,,,
How many teams can boast a 15â€“1 regular season record?,six,1,1,six : ten : ten,,,,,,,,,,,,,,,,,,,,,,,,
What seed was the Carolina Panthers?,third,0,0,number one : number one : one,,,,,,,,,,,,,,,,,,,,,,,,
What seed was the Denver Broncos?,second Super Bowl,0,0,number one : number one : one,,,,,,,,,,,,,,,,,,,,,,,,
Prior to Super Bowl 50  when were the Broncos last there?,Coincidentally  both teams were coached by John Fox in their last Super Bowl appearance,0,0,Super Bowl XLVIII : Super Bowl XLVIII : Super Bowl XLVIII,,,,,,,,,,,,,,,,,,,,,,,,
Prior to Super Bowl 50  when were the Carolina Panthers last there?,Coincidentally  both teams were coached by John Fox in their last Super Bowl appearance,0,0,Super Bowl XXXVIII. : Super Bowl XXXVIII : Super Bowl XXXVIII,,,,,,,,,,,,,,,,,,,,,,,,
How many teams have had a 15-1 record for the regular season?,six,1,1,six : ten : ten,,,,,,,,,,,,,,,,,,,,,,,,
How many games did the Panthers lose in the regular season before Super Bowl 50?,one,1,1,one : 1 : 1,,,,,,,,,,,,,,,,,,,,,,,,
How many teams up to Super Bowl 50 have been to the championship game eight times?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
Before Super Bowl 50  what was the coach's name that coached both teams for their last Super Bowl appearances?,John Fox,1,1,John Fox : John Fox : John Fox,,,,,,,,,,,,,,,,,,,,,,,,
Whic Carolina Panthers running back was waived?,DeAngelo Williams,1,1,DeAngelo Williams : DeAngelo Williams : Williams,,,,,,,,,,,,,,,,,,,,,,,,
Which Carolina Panthers wide receiver suffered a torn ACL before the season began?,Kelvin Benjamin,1,1,Kelvin Benjamin : Kelvin Benjamin : Benjamin,,,,,,,,,,,,,,,,,,,,,,,,
How many teams have won 15 regular season games since the 16-game schedule was adopted?,seventh,1,1,7 : seventh : seventh,,,,,,,,,,,,,,,,,,,,,,,,
In what year did the NFL switch to a 16-game regular season?,1978,1,1,1978 : 1978 : 1978,,,,,,,,,,,,,,,,,,,,,,,,
Who had the best record in the NFC?,the Panthers,1,1,Carolina Panthers : the Panthers : Carolina,,,,,,,,,,,,,,,,,,,,,,,,
How many Panthers went to the Pro Bowl?,Ten players were selected to the Pro Bowl (the most in franchise history) along with eight,0,0,Ten : Ten : Ten,,,,,,,,,,,,,,,,,,,,,,,,
How many Panthers were designated All-Pro?,Ten players were selected to the Pro Bowl (the most in franchise history) along with eight,0,0,eight : eight : eight,,,,,,,,,,,,,,,,,,,,,,,,
What Panther tore his ACL in the preseason?,Kelvin Benjamin,1,1,Kelvin Benjamin : Kelvin Benjamin : Benjamin,,,,,,,,,,,,,,,,,,,,,,,,
What year did the league begin having schedules with 16 games in them?,1978,1,1,1978 : 1978 : 1978,,,,,,,,,,,,,,,,,,,,,,,,
What year did the the Saints hit a 13-0 record?,2009,1,1,2009 : 2009 : 2009,,,,,,,,,,,,,,,,,,,,,,,,
When did the Packers arrive at a record of 13-0?,2011,1,1,2011 : 2011 : 2011,,,,,,,,,,,,,,,,,,,,,,,,
What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?,a torn ACL,1,1,torn ACL : a torn ACL : torn ACL,,,,,,,,,,,,,,,,,,,,,,,,
Which player did the Panthers lose to an ACL injury in a preseason game?,Kelvin Benjamin,1,1,Kelvin Benjamin : Kelvin Benjamin : Benjamin,,,,,,,,,,,,,,,,,,,,,,,,
Which running back did the Panthers waive?,DeAngelo Williams,1,1,DeAngelo Williams : DeAngelo Williams : Williams,,,,,,,,,,,,,,,,,,,,,,,,
When did the NFL start their 16 game seasons?,1978,1,1,1978 : 1978 : 1978,,,,,,,,,,,,,,,,,,,,,,,,
How many Panthers players were selected to the Pro Bowl?,Ten,1,1,Ten : Ten : Ten,,,,,,,,,,,,,,,,,,,,,,,,
Which team had the best regular season in their history?,Carolina Panthers,1,1,Carolina Panthers : the Panthers : Carolina,,,,,,,,,,,,,,,,,,,,,,,,
When did the league go from 15 to 16 games in the regular season?,1978,1,1,1978. : 1978 : 1978,,,,,,,,,,,,,,,,,,,,,,,,
What team had the best start ever in the NFL?,NFC,0,0,Carolina Panthers : the Panthers : Carolina,,,,,,,,,,,,,,,,,,,,,,,,
How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,1,1,Ten : Ten : Ten,,,,,,,,,,,,,,,,,,,,,,,,
How many Pro Bowlers were on the Panthers offense?,six,1,1,six : six : six,,,,,,,,,,,,,,,,,,,,,,,,
How many total touchdowns did Cam Newton score?,45,1,1,45:45:45,,,,,,,,,,,,,,,,,,,,,,,,
How many interceptions did Cam Newton throw?,3 837,0,0,10:10:10,,,,,,,,,,,,,,,,,,,,,,,,
How many punts did Ted Ginn Jr. return?,27,1,1,27:27:27,,,,,,,,,,,,,,,,,,,,,,,,
Who started at tight end for the Panthers?,Greg Olsen,1,1,Greg Olsen : Greg Olsen : Olsen,,,,,,,,,,,,,,,,,,,,,,,,
What is the record number of touchdowns Cam Newton has had? ,45,1,1,45:45:45,,,,,,,,,,,,,,,,,,,,,,,,
What is the best QB ranking that Cam Newton holds?,99.4,1,1,99.4 : 99.4 : 99.4.,,,,,,,,,,,,,,,,,,,,,,,,
What are the most passes that Greg Olsen has had?,1 104 yards and seven touchdowns,0,0,77 passes : 77 : 77,,,,,,,,,,,,,,,,,,,,,,,,
What position does Jerricho Cotchery play?,receivers included veteran,0,0,receivers : receivers : receivers,,,,,,,,,,,,,,,,,,,,,,,,
Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?,Jonathan Stewart  who led the team with 989 rushing yards and six touchdowns in 13 games  along with Pro Bowl fullback Mike Tolbert,0,0,Jonathan Stewart : Jonathan Stewart : Jonathan Stewart,,,,,,,,,,,,,,,,,,,,,,,,
How many Offensive players from the Panthers were selected to play in the Pro Bowl?,six,1,1,six : six : six,,,,,,,,,,,,,,,,,,,,,,,,
Who is the quarterback for the Carolina Panthers?,Cam Newton,1,1,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
How many yards did Newton throw for in 2015?,3 837,1,1,3,837:03:00,837:03:00,837,,,,,,,,,,,,,,,,,,,,,
How many touchdowns did Newton have in 2015?,45 total touchdowns (35 passing  10,0,0,45:45:45,,,,,,,,,,,,,,,,,,,,,,,,
How many touchdowns did Jonathan Stewart have in 13 games?,six,1,1,six : six : six,,,,,,,,,,,,,,,,,,,,,,,,
How many points did Carolina lead the NFL in scoring for offensive plays?,500,1,1,500 : 500 : 500,,,,,,,,,,,,,,,,,,,,,,,,
how many yards did Newton get for passes in the 2015 season?,3 837,1,1,3,837:03:00,837:03:00,837,,,,,,,,,,,,,,,,,,,,,
How many touchdowns did Newton get in the 2015 season?,45 total touchdowns (35 passing  10,0,0,45:45:45,,,,,,,,,,,,,,,,,,,,,,,,
What was Newton's quarterback rating for 2015?,99.4,1,1,99.4. : 99.4 : 99.4.,,,,,,,,,,,,,,,,,,,,,,,,
How many receptions did Cotchery  get for the 2015 season?,39,1,1,39:39:39,,,,,,,,,,,,,,,,,,,,,,,,
How many points did the Panthers defense surrender?,308,1,1,308 : 308 : 308,,,,,,,,,,,,,,,,,,,,,,,,
How many career sacks did Jared Allen have?,5 sacks in just 9 starts. Behind them  two of the Panthers three starting linebackers were also selected to play in the Pro Bowl: Thomas Davis and Luke Kuechly. Davis compiled 5Â_ sacks  four forced fumbles  and four interceptions  while Kuechly led the team in tackles (118) forced two fumbles  and intercepted four passes of his own. Carolina's secondary featured Pro Bowl safety Kurt Coleman  who led the team with a career high seven,0,0,136 : 136 : 136,,,,,,,,,,,,,,,,,,,,,,,,
How many tackles did Luke Kuechly register?,118,1,1,118 : 118 : 118,,,,,,,,,,,,,,,,,,,,,,,,
How many balls did Josh Norman intercept?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
Who registered the most sacks on the team this season?,Mario Addison,0,0,Kawann Short : Kawann Short : Short,,,,,,,,,,,,,,,,,,,,,,,,
How many interceptions are the Panthers defense credited with in 2015?,24,1,1,24:24:24,,,,,,,,,,,,,,,,,,,,,,,,
Who led the Panthers in sacks?,Kuechly,0,0,Kawann Short : Kawann Short : Short,,,,,,,,,,,,,,,,,,,,,,,,
How many Panthers defense players were selected for the Pro Bowl?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
How many forced fumbles did Thomas Davis have?,four,1,1,four : 5Â_ : four,,,,,,,,,,,,,,,,,,,,,,,,
Which player had the most interceptions for the season?,Kurt Coleman  who led the team with a career high seven interceptions  while also racking up 88 tackles and Pro Bowl cornerback Josh Norman,0,0,Kurt Coleman : Kurt Coleman : Coleman,,,,,,,,,,,,,,,,,,,,,,,,
How many 2015 season interceptions did the Panthers' defense get?,four,0,0,24:24:24,,,,,,,,,,,,,,,,,,,,,,,,
Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,1,1,Kony Ealy : Kony Ealy,,,,,,,,,,,,,,,,,,,,,,,,
Who was the Panthers' tackle leader for 2015?,Jared Allen,0,0,Luke Kuechly. : Luke Kuechly : Short,,,,,,,,,,,,,,,,,,,,,,,,
How many interceptions did Josh Norman score touchdowns with in 2015?,four,0,0,two. : two : 24,,,,,,,,,,,,,,,,,,,,,,,,
Who is the head coach of the Broncos?,John Fox (who had won four divisional championships in his four years as Broncos head coach)  and the hiring of Gary Kubiak,0,0,Gary Kubiak : Gary Kubiak : Kubiak,,,,,,,,,,,,,,,,,,,,,,,,
Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,1,1,Brock Osweiler : Brock Osweiler : Osweiler,,,,,,,,,,,,,,,,,,,,,,,,
Who did Peyton Manning play for as a rookie?,Indianapolis Colts,1,1,Indianapolis Colts : the Indianapolis Colts : Colts,,,,,,,,,,,,,,,,,,,,,,,,
Who did the Broncos play in the last week of the regular season?,John Fox (who had won four divisional championships in his four years as Broncos head coach)  and the hiring of Gary Kubiak as the new head coach. Under Kubiak  the Broncos planned to install a run-oriented offense with zone blocking to blend in with quarterback Peyton Manning's shotgun passing skills  but struggled with numerous changes and injuries to the offensive line  as well as Manning having his worst statistical season since his rookie year with the Indianapolis Colts in 1998  due to a plantar fasciitis injury in his heel that he had suffered since the summer  and the simple fact that Manning was getting old  as he turned 39 in the 2015 off-season. Although the team had a 7â€“0 start  Manning led the NFL in interceptions. In week 10  Manning suffered a partial tear of the plantar fasciitis in his left foot. He set the NFL's all-time record for career passing yards in this game  but was benched after throwing four interceptions in favor of backup quarterback Brock Osweiler,0,0,San Diego Chargers : San Diego Chargers : Chargers,,,,,,,,,,,,,,,,,,,,,,,,
Who is Denver's defensive coordinator?,Wade Phillips,1,1,Wade Phillips : Wade Phillips : Phillips,,,,,,,,,,,,,,,,,,,,,,,,
How many years was John Fox the head coach of the Denver Broncos?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the Bronco's head coach  who was hired after John Fox? ,Gary Kubiak,1,1,Gary Kubiak : Gary Kubiak : Kubiak,,,,,,,,,,,,,,,,,,,,,,,,
What was the first team Peyton Manning began playing for?,interceptions,0,0,Indianapolis Colts : the Indianapolis Colts : 1998,,,,,,,,,,,,,,,,,,,,,,,,
How old was Peyton Manning in 2015?,39,1,1,39:39:39,,,,,,,,,,,,,,,,,,,,,,,,
In the 10th week of the 2015 season  what injury was Peyton Manning dealing with?,plantar fasciitis,1,1,plantar fasciitis : a partial tear of the plantar fasciitis,,,,,,,,,,,,,,,,,,,,,,,,
When John Fox left as head coach for the Broncos  who replaced him?,Gary Kubiak,1,1,Gary Kubiak : Gary Kubiak : Kubiak,,,,,,,,,,,,,,,,,,,,,,,,
Who was the quarterback for the Broncos 2015 season?,Brock Osweiler,0,0,Peyton Manning : Peyton Manning : Manning,,,,,,,,,,,,,,,,,,,,,,,,
What injury did Manning suffer the summer before the season started?,plantar fasciitis,1,1,a plantar fasciitis injury : a plantar fasciitis injury : plantar fasciitis,,,,,,,,,,,,,,,,,,,,,,,,
How old was Manning at the beginning of the 2015 season?,39,1,1,39:39:39,,,,,,,,,,,,,,,,,,,,,,,,
How many games did the Broncos lose during their regular 2015 season?,12â€“4,0,0,four : 4 : 4,,,,,,,,,,,,,,,,,,,,,,,,
What coach left the Broncos after the season prior to Super Bowl 50?,John Fox,1,1,John Fox : John Fox : Fox,,,,,,,,,,,,,,,,,,,,,,,,
According to game stats  which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?,Brock Osweiler,0,0,Peyton Manning : Peyton Manning : Manning,,,,,,,,,,,,,,,,,,,,,,,,
Who was the Denver head coach for Super Bowl 50?,John Fox,0,0,Gary Kubiak : Gary Kubiak : Kubiak,,,,,,,,,,,,,,,,,,,,,,,,
What foot was injured on Manning that sidelined him in week 10?,Osweiler,0,0,left foot. : left : left,,,,,,,,,,,,,,,,,,,,,,,,
Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,1,1,Wade Phillips : Wade Phillips : Phillips,,,,,,,,,,,,,,,,,,,,,,,,
What was Peyton Manning's passer rating for the season?,67.9,1,1,67.9 : 67.9 : 67.9,,,,,,,,,,,,,,,,,,,,,,,,
How many picks did Peyton Manning throw in the season?,67.9,0,0,17:17:17,,,,,,,,,,,,,,,,,,,,,,,,
Who registered the most receptions on the Broncos?,Demaryius Thomas,1,1,Demaryius Thomas : Demaryius Thomas : Thomas,,,,,,,,,,,,,,,,,,,,,,,,
Who had the most rushing yards on the Broncos?,Emmanuel Sanders caught 76 passes for 1 135 yards and six scores  while adding another 106 yards returning punts. Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson,0,0,C. J. Anderson : C. J. Anderson : Anderson,,,,,,,,,,,,,,,,,,,,,,,,
How many touchdowns did Brock Osweiler throw in the season?,nine,0,0,10:10:10,,,,,,,,,,,,,,,,,,,,,,,,
What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,1,1,67.9 : 67.9 : 67.9,,,,,,,,,,,,,,,,,,,,,,,,
How may yards did Peyton Manning throw?,2 249,1,1,2,249:02:00,249:02:00,249,,,,,,,,,,,,,,,,,,,,,
What was the number of 17 interceptions that Peyton Manning had by end of the year?,2 249 yards and nine touchdowns  with 17 interceptions. In contrast  Osweiler threw for 1 967 yards  10 touchdowns and six interceptions for a rating of 86.4,0,0,nine : 17 : career-low 67.9 passer rating,,,,,,,,,,,,,,,,,,,,,,,,
Who had the most receptions out of all players for the year?,Demaryius Thomas,1,1,Demaryius Thomas : Demaryius Thomas : Thomas,,,,,,,,,,,,,,,,,,,,,,,,
What position does Demaryius Thomas play?,Veteran receiver,0,0,receiver : receiver : Thomas,,,,,,,,,,,,,,,,,,,,,,,,
What was Manning's passer rating at the end of the season?,67.9,1,1,67.9 : 67.9 : 67.9,,,,,,,,,,,,,,,,,,,,,,,,
How many times was Manning intercepted during the 2015 season?,76,0,0,17:17:17,,,,,,,,,,,,,,,,,,,,,,,,
Who led the Broncos with 105 receptions?,Demaryius Thomas,1,1,Demaryius Thomas : Demaryius Thomas : Thomas,,,,,,,,,,,,,,,,,,,,,,,,
How many touchdowns did Ronnie Hillman make?,five,1,1,5 : five : five,,,,,,,,,,,,,,,,,,,,,,,,
What was Manning's passer rating for the 2015 season?,67.9,1,1,67.9 : 67.9 : 67.9,,,,,,,,,,,,,,,,,,,,,,,,
How many interceptions did manning have in 2015?,17,1,1,17:17:17,,,,,,,,,,,,,,,,,,,,,,,,
What Denver player caught the ball 76 times in the 2015 season?,Emmanuel Sanders,1,1,Emmanuel Sanders : Emmanuel Sanders : Sanders,,,,,,,,,,,,,,,,,,,,,,,,
Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,1,1,C. J. Anderson : C. J. Anderson : Anderson,,,,,,,,,,,,,,,,,,,,,,,,
What was Ronnie Hillman's average yards per carry in 2015?,4.7,1,1,4.7 : 4.7 : 4.7,,,,,,,,,,,,,,,,,,,,,,,,
How many yards did the Broncos' defense give up?,4 530,1,1,4,530:04:00,530:04:00,530,,,,,,,,,,,,,,,,,,,,,
How many sacks did Derek Wolfe register?,5Â_ sacks. Pro Bowl linebacker Von Miller led the team with 11 sacks  forced four fumbles  and recovered three. Linebacker DeMarcus Ware was selected to play in the Pro Bowl for the ninth time in his career  ranking second on the team with 7Â_ sacks. Linebacker Brandon Marshall led the team in total tackles with 109  while Danny Trevathan ranked second with 102. Cornerbacks Aqib Talib (three interceptions) and Chris Harris  Jr. (two,0,0,5Â_ : 5Â_ : 5Â_,,,,,,,,,,,,,,,,,,,,,,,,
Who was first on the team in total tackles?,Linebacker Brandon Marshall,0,0,Brandon Marshall : Brandon Marshall : Marshall,,,,,,,,,,,,,,,,,,,,,,,,
How many picks did Aqib Talib have?,three,1,1,three : three : three,,,,,,,,,,,,,,,,,,,,,,,,
What position does DeMarcus currently play? ,second,0,0,Linebacker : Linebacker : Linebacker,,,,,,,,,,,,,,,,,,,,,,,,
What position does Brandon Marshall currently play? ,Linebacker,1,1,Linebacker : Linebacker : Linebacker,,,,,,,,,,,,,,,,,,,,,,,,
What is the position Derek Wolfe plays currently? ,Defensive,0,1,Defensive ends : Defensive ends : Defensive ends,,,,,,,,,,,,,,,,,,,,,,,,
How many points did the Broncos defense allow their opponents to get?,296,1,1,296 : 296 : 296,,,,,,,,,,,,,,,,,,,,,,,,
Which linebacker had the most sacks on the team?,Linebacker DeMarcus Ware,0,0,Von Miller : Von Miller : Miller,,,,,,,,,,,,,,,,,,,,,,,,
Which linebacker led the Broncos in tackles?,Brandon Marshall,1,1,Brandon Marshall : Brandon Marshall : Marshall,,,,,,,,,,,,,,,,,,,,,,,,
How many interceptions did Aqib Talib have for the regular season?,three,1,1,three. : three : three,,,,,,,,,,,,,,,,,,,,,,,,
Who forced four fumbles for the Broncos in the 2015 season?,Pro Bowl linebacker Von Miller,0,0,Von Miller : Von Miller : Miller,,,,,,,,,,,,,,,,,,,,,,,,
